Major:,Computer Science,,,,,,,,
Department,Number,Name,Hours,Spring/Fall,Required,# Prereqs,Prereqs:,,
CS,1,Introduction to Computer Science,1,FS,1,0,,,
CS,53,Introduction to Programming and Lab (54),4,FS,1,0,,,
ENG,20,Exposition & Argumentation,3,FS,1,0,,,
MATH,8,Calculus with Analytic Geometry I,5,FS,1,0,,,
CS,153,Data Structures,3,FS,1,1,CS53,,
CS,128,Discrete Matematics ,3,FS,1,1,CS53,,
MATH,21,Calculus with Analytic Geometry II,5,FS,1,1,MATH8,,
CS,253,Algorithms,3,FS,1,3,CS128,CS153,MATH8
SP,85,Intro to Speech,3,FS,1,0,,,
CS,238,File Struct & Intro Database Sys,3,FS,1,1,CS153,,
CPE,111,Intro to Computer Engineering,3,FS,1,0,,,
MATH,208,Linear Algebra I,3,FS,1,1,MATH21,,
STAT,215,Engineering Statistics,3,FS,1,0,,,
PHYS,21,General Physics I,4,FS,1,1,MATH8,,
PHYS,25,General Physics II,4,FS,1,2,PHYS21,MATH21,
HSS,99,History Elective,3,FS,1,0,,,
CS,284,Introduction to Operating Systems,3,FS,1,3,CS128,CS153,CPE213
CPE,213,Digital Systems Design,3,FS,1,2,CPE111,CS53,
CS,220,Theory of Computer Science,3,FS,1,2,CS128,CS253,
FREE,99,Free Elective,3,FS,1,0,,,
CS,256,Programming Languages And Translators,3,FS,1,1,CS153,,
HSS,199,Social Science Elective,3,FS,1,0,,,
CS,228,Introduction to Numerical Methods,3,FS,1,1,MATH21,,
ENG,60,Writing and Research,3,FS,1,1,ENG20,,
CS,206,Software Engineering I,3,FS,1,1,CS253,,
CS,299,Computer Science Elective,3,FS,1,0,,,
CS,399,Computer Science Elective,3,FS,1,0,,,
CS,399,Computer Science Elective,3,FS,1,0,,,
SCI,199,Engineering/Science Elective,3,FS,1,0,,,
SCI,199,Engineering/Science Elective,3,FS,1,0,,,
CS,397,Software Systems Development I,3,FS,1,1,CS206,,
CS,399,Computer Science Elective,3,FS,1,0,,,
CS,399,Computer Science Elective,3,FS,1,0,,,
SCI,199,Engineering/Science Elective,3,FS,1,0,,,
PHIL,299,Ethics Elective,3,FS,1,0,,,
FREE,99,Free Elective,4,FS,1,0,,,
